id,Transcript,QX1410,transcript_CTROP,structure
OG0000699,1,4,3,one:many:many
OG0000700,5,1,2,many:one:many
OG0000701,2,3,3,many:many:many
OG0000702,3,3,2,many:many:many
OG0000703,4,2,2,many:many:many
OG0000704,3,2,3,many:many:many
OG0000705,4,1,3,many:one:many
OG0000706,3,2,3,many:many:many
OG0000707,3,1,4,many:one:many
OG0000708,5,3,0,many:many:none
OG0000709,4,2,2,many:many:many
OG0000710,4,2,2,many:many:many
OG0000711,3,2,3,many:many:many
OG0000712,2,4,2,many:many:many
OG0000713,2,3,3,many:many:many
OG0000714,5,1,2,many:one:many
OG0000715,2,5,1,many:many:one
OG0000716,1,6,1,one:many:one
OG0000717,2,3,3,many:many:many
OG0000718,2,2,4,many:many:many
OG0000719,2,4,2,many:many:many
OG0000720,3,3,2,many:many:many
OG0000721,1,1,6,one:one:many
OG0000722,2,1,5,many:one:many
OG0000723,0,5,3,none:many:many
OG0000724,1,1,6,one:one:many
OG0000725,5,2,1,many:many:one
OG0000726,3,1,4,many:one:many
OG0000727,8,0,0,many:none:none
OG0000728,8,0,0,many:none:none
OG0000729,8,0,0,many:none:none
OG0000730,8,0,0,many:none:none
OG0000731,8,0,0,many:none:none
OG0000732,8,0,0,many:none:none
OG0000733,8,0,0,many:none:none
OG0000734,8,0,0,many:none:none
OG0000735,3,0,5,many:none:many
OG0000736,2,0,6,many:none:many
OG0000737,0,0,8,none:none:many
OG0000738,0,0,8,none:none:many
OG0000739,0,0,8,none:none:many
OG0000740,0,0,8,none:none:many
OG0000741,0,0,8,none:none:many
OG0000742,0,0,8,none:none:many
OG0000743,0,0,8,none:none:many
OG0000744,0,0,8,none:none:many
OG0000745,0,0,8,none:none:many
OG0000746,0,0,8,none:none:many
OG0000747,3,2,2,many:many:many
OG0000748,3,2,2,many:many:many
OG0000749,4,2,1,many:many:one
OG0000750,1,3,3,one:many:many
OG0000751,2,2,3,many:many:many
OG0000752,0,7,0,none:many:none
OG0000753,2,2,3,many:many:many
OG0000754,4,1,2,many:one:many
OG0000755,2,2,3,many:many:many
OG0000756,1,1,5,one:one:many
OG0000757,3,1,3,many:one:many
OG0000758,2,1,4,many:one:many
OG0000759,5,1,1,many:one:one
OG0000760,3,2,2,many:many:many
OG0000761,4,1,2,many:one:many
OG0000762,3,3,1,many:many:one
OG0000763,1,3,3,one:many:many
OG0000764,3,3,1,many:many:one
OG0000765,3,3,1,many:many:one
OG0000766,0,6,1,none:many:one
OG0000767,1,4,2,one:many:many
OG0000768,1,4,2,one:many:many
OG0000769,2,2,3,many:many:many
OG0000770,0,6,1,none:many:one
